3446	Accipitridae	Accipiter	gularis	Accipiter gularis	Japanese Sparrowhawk
3447	Accipitridae	Accipiter	virgatus	Accipiter virgatus	Besra
3448	Accipitridae	Accipiter	nanus	Accipiter nanus	Small Sparrowhawk
3449	Accipitridae	Accipiter	erythrauchen	Accipiter erythrauchen	Rufous-necked Sparrowhawk
3450	Accipitridae	Accipiter	cirrocephalus	Accipiter cirrocephalus	Collared Sparrowhawk
3451	Accipitridae	Accipiter	brachyurus	Accipiter brachyurus	New Britain Sparrowhawk
3452	Accipitridae	Accipiter	rhodogaster	Accipiter rhodogaster	Vinous-breasted Sparrowhawk
3453	Accipitridae	Accipiter	madagascariensis	Accipiter madagascariensis	Madagascar Sparrowhawk
3454	Accipitridae	Accipiter	ovampensis	Accipiter ovampensis	Ovampo Sparrowhawk
3455	Accipitridae	Accipiter	nisus	Accipiter nisus	Eurasian Sparrowhawk
3456	Accipitridae	Accipiter	rufiventris	Accipiter rufiventris	Rufous-chested Sparrowhawk
32242	Accipitridae	Accipiter	striatus	Accipiter striatus	Sharp-shinned Hawk
3457	Accipitridae	Accipiter	striatus	Accipiter striatus	\N
3458	Accipitridae	Accipiter	chionogaster	Accipiter chionogaster	\N
3459	Accipitridae	Accipiter	ventralis	Accipiter ventralis	\N
3460	Accipitridae	Accipiter	erythronemius	Accipiter erythronemius	\N
3461	Accipitridae	Accipiter	cooperii	Accipiter cooperii	Cooper's Hawk
3462	Accipitridae	Accipiter	gundlachi	Accipiter gundlachi	Gundlach's Hawk
3463	Accipitridae	Accipiter	bicolor	Accipiter bicolor	Bicoloured Hawk
3464	Accipitridae	Accipiter	melanoleucus	Accipiter melanoleucus	Black Goshawk
3465	Accipitridae	Accipiter	henstii	Accipiter henstii	Henst's Goshawk
3466	Accipitridae	Accipiter	gentilis	Accipiter gentilis	Northern Goshawk
3467	Accipitridae	Accipiter	meyerianus	Accipiter meyerianus	Meyer's Goshawk
3380	Accipitridae	Aegypius	monachus	Aegypius monachus	Cinereous Vulture
31035	Accipitridae	Aquila	pomarina	Aquila pomarina	\N
3530	Accipitridae	Aquila	pomarina	Aquila pomarina	Lesser Spotted Eagle
31036	Accipitridae	Aquila	hastata	Aquila hastata	Indian Spotted Eagle
3531	Accipitridae	Aquila	clanga	Aquila clanga	Greater Spotted Eagle
3532	Accipitridae	Aquila	rapax	Aquila rapax	Tawny Eagle
3533	Accipitridae	Aquila	nipalensis	Aquila nipalensis	Steppe Eagle
3534	Accipitridae	Aquila	adalberti	Aquila adalberti	Spanish Imperial Eagle
3535	Accipitridae	Aquila	heliaca	Aquila heliaca	Eastern Imperial Eagle
3536	Accipitridae	Aquila	gurneyi	Aquila gurneyi	Gurney's Eagle
3537	Accipitridae	Aquila	chrysaetos	Aquila chrysaetos	Golden Eagle
3538	Accipitridae	Aquila	audax	Aquila audax	Wedge-tailed Eagle
3539	Accipitridae	Aquila	verreauxii	Aquila verreauxii	Verreaux's Eagle
3540	Accipitridae	Aquila	wahlbergi	Aquila wahlbergi	Wahlberg's Eagle
80007	Accipitridae	Aquila		Aquila sp. 	\N
3497	Accipitridae	Asturina	plagiata	Asturina plagiata	\N
3498	Accipitridae	Asturina	nitida	Asturina nitida	\N
3325	Accipitridae	Aviceda	cuculoides	Aviceda cuculoides	African Baza
3326	Accipitridae	Aviceda	madagascariensis	Aviceda madagascariensis	Madagascar Baza
3327	Accipitridae	Aviceda	jerdoni	Aviceda jerdoni	Jerdon's Baza
3328	Accipitridae	Aviceda	subcristata	Aviceda subcristata	Pacific Baza
3329	Accipitridae	Aviceda	leuphotes	Aviceda leuphotes	Black Baza
3493	Accipitridae	Busarellus	nigricollis	Busarellus nigricollis	Black-collared Hawk
3472	Accipitridae	Butastur	rufipennis	Butastur rufipennis	Grasshopper Buzzard
3473	Accipitridae	Butastur	teesa	Butastur teesa	White-eyed Buzzard
3474	Accipitridae	Butastur	liventer	Butastur liventer	Rufous-winged Buzzard
3475	Accipitridae	Butastur	indicus	Butastur indicus	Grey-faced Buzzard
3499	Accipitridae	Buteo	magnirostris	Buteo magnirostris	Roadside Hawk
3500	Accipitridae	Buteo	lineatus	Buteo lineatus	Red-shouldered Hawk
3501	Accipitridae	Buteo	ridgwayi	Buteo ridgwayi	Ridgway's Hawk
3502	Accipitridae	Buteo	platypterus	Buteo platypterus	Broad-winged Hawk
32352	Accipitridae	Buteo	nitidus	Buteo nitidus	Grey Hawk
3503	Accipitridae	Buteo	leucorrhous	Buteo leucorrhous	White-rumped Hawk
3504	Accipitridae	Buteo	brachyurus	Buteo brachyurus	Short-tailed Hawk
3505	Accipitridae	Buteo	albigula	Buteo albigula	White-throated Hawk
3506	Accipitridae	Buteo	swainsoni	Buteo swainsoni	Swainson's Hawk
3507	Accipitridae	Buteo	albicaudatus	Buteo albicaudatus	White-tailed Hawk
3508	Accipitridae	Buteo	galapagoensis	Buteo galapagoensis	Galapagos Hawk
3509	Accipitridae	Buteo	polyosoma	Buteo polyosoma	Red-backed Hawk
3510	Accipitridae	Buteo	poecilochrous	Buteo poecilochrous	Puna Hawk
3511	Accipitridae	Buteo	albonotatus	Buteo albonotatus	Zone-tailed Hawk
3512	Accipitridae	Buteo	solitarius	Buteo solitarius	Hawaiian Hawk
3513	Accipitridae	Buteo	jamaicensis	Buteo jamaicensis	Red-tailed Hawk
3514	Accipitridae	Buteo	ventralis	Buteo ventralis	Rufous-tailed Hawk
3515	Accipitridae	Buteo	buteo	Buteo buteo	Common Buzzard
31630	Accipitridae	Buteo	japonicus	Buteo japonicus	Eastern Buzzard
32234	Accipitridae	Buteo	refectus	Buteo refectus	Himalayan Buzzard
3516	Accipitridae	Buteo	oreophilus	Buteo oreophilus	Mountain Buzzard
32498	Accipitridae	Buteo	trizonatus	Buteo trizonatus	\N
3517	Accipitridae	Buteo	brachypterus	Buteo brachypterus	Madagascar Buzzard
3518	Accipitridae	Buteo	rufinus	Buteo rufinus	Long-legged Buzzard
31631	Accipitridae	Buteo	socotrae	Buteo socotrae	Socotran Buzzard
3519	Accipitridae	Buteo	hemilasius	Buteo hemilasius	Upland Buzzard
3520	Accipitridae	Buteo	regalis	Buteo regalis	Ferruginous Hawk
3521	Accipitridae	Buteo	lagopus	Buteo lagopus	Rough-legged Hawk
3522	Accipitridae	Buteo	auguralis	Buteo auguralis	Red-necked Buzzard
9831	Accipitridae	Buteo	archeri	Buteo archeri	\N
3523	Accipitridae	Buteo	augur	Buteo augur	\N
31532	Accipitridae	Buteo	augur	Buteo augur	Augur Buzzard
3524	Accipitridae	Buteo	rufofuscus	Buteo rufofuscus	Jackal Buzzard
80012	Accipitridae	Buteo		Buteo sp.	\N
3487	Accipitridae	Buteogallus	aequinoctialis	Buteogallus aequinoctialis	Rufous Crab-hawk
3488	Accipitridae	Buteogallus	anthracinus	Buteogallus anthracinus	\N
32477	Accipitridae	Buteogallus	anthracinus	Buteogallus anthracinus	Common Black-hawk
32478	Accipitridae	Buteogallus	gundlachii	Buteogallus gundlachii	Cuban Black Hawk
3489	Accipitridae	Buteogallus	subtilis	Buteogallus subtilis	Mangrove Black-hawk
3490	Accipitridae	Buteogallus	urubitinga	Buteogallus urubitinga	Great Black-hawk
3491	Accipitridae	Buteogallus	meridionalis	Buteogallus meridionalis	Savanna Hawk
3346	Accipitridae	Chelictinia	riocourii	Chelictinia riocourii	African Swallow-tailed Kite
31028	Accipitridae	Chondrohierax	uncinatus	Chondrohierax uncinatus	\N
3331	Accipitridae	Chondrohierax	uncinatus	Chondrohierax uncinatus	Hook-billed Kite
30037	Accipitridae	Chondrohierax	wilsonii	Chondrohierax wilsonii	Cuban Kite
31030	Accipitridae	Circaetus	gallicus	Circaetus gallicus	\N
3384	Accipitridae	Circaetus	gallicus	Circaetus gallicus	\N
32257	Accipitridae	Circaetus	gallicus	Circaetus gallicus	Short-toed Snake-eagle
32259	Accipitridae	Circaetus	pectoralis	Circaetus pectoralis	Black-chested Snake-eagle
31639	Accipitridae	Circaetus	beaudouini	Circaetus beaudouini	Beaudouin's Snake-eagle
3386	Accipitridae	Circaetus	cinereus	Circaetus cinereus	Brown Snake-eagle
3387	Accipitridae	Circaetus	fasciolatus	Circaetus fasciolatus	Southern Banded Snake-eagle
3388	Accipitridae	Circaetus	cinerascens	Circaetus cinerascens	Banded Snake-eagle
3399	Accipitridae	Circus	aeruginosus	Circus aeruginosus	Western Marsh-harrier
3400	Accipitridae	Circus	ranivorus	Circus ranivorus	African Marsh-harrier
3401	Accipitridae	Circus	spilonotus	Circus spilonotus	Eastern Marsh-harrier
3402	Accipitridae	Circus	approximans	Circus approximans	Swamp Harrier
31032	Accipitridae	Circus	maillardi	Circus maillardi	\N
3403	Accipitridae	Circus	macrosceles	Circus macrosceles	Madagascar Harrier
30003	Accipitridae	Circus	maillardi	Circus maillardi	Reunion Harrier
3404	Accipitridae	Circus	buffoni	Circus buffoni	Long-winged Harrier
3405	Accipitridae	Circus	assimilis	Circus assimilis	Spotted Harrier
3406	Accipitridae	Circus	maurus	Circus maurus	Black Harrier
3407	Accipitridae	Circus	cyaneus	Circus cyaneus	Northern Harrier
3408	Accipitridae	Circus	cinereus	Circus cinereus	Cinereous Harrier
3409	Accipitridae	Circus	macrourus	Circus macrourus	Pallid Harrier
3410	Accipitridae	Circus	melanoleucos	Circus melanoleucos	Pied Harrier
3411	Accipitridae	Circus	pygargus	Circus pygargus	Montagu's Harrier
80020	Accipitridae	Circus		Circus sp. 	\N
3397	Accipitridae	Dryotriorchis	spectabilis	Dryotriorchis spectabilis	Congo Serpent-eagle
3339	Accipitridae	Elanoides	forficatus	Elanoides forficatus	American Swallow-tailed Kite
3342	Accipitridae	Elanus	caeruleus	Elanus caeruleus	Black-winged Kite
3343	Accipitridae	Elanus	axillaris	Elanus axillaris	Black-shouldered Kite
3344	Accipitridae	Elanus	leucurus	Elanus leucurus	White-tailed Kite
3345	Accipitridae	Elanus	scriptus	Elanus scriptus	Letter-winged Kite
3468	Accipitridae	Erythrotriorchis	buergersi	Erythrotriorchis buergersi	Chestnut-shouldered Goshawk
3469	Accipitridae	Erythrotriorchis	radiatus	Erythrotriorchis radiatus	Red Goshawk
3398	Accipitridae	Eutriorchis	astur	Eutriorchis astur	Madagascar Serpent-eagle
3341	Accipitridae	Gampsonyx	swainsonii	Gampsonyx swainsonii	Pearl Kite
3494	Accipitridae	Geranoaetus	melanoleucus	Geranoaetus melanoleucus	Black-chested Buzzard-eagle
3476	Accipitridae	Geranospiza	caerulescens	Geranospiza caerulescens	Crane Hawk
3370	Accipitridae	Gypaetus	barbatus	Gypaetus barbatus	Lammergeier
3369	Accipitridae	Gypohierax	angolensis	Gypohierax angolensis	Palm-nut Vulture
3373	Accipitridae	Gyps	africanus	Gyps africanus	White-backed Vulture
